X,Y,OBJECTID,stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding
-8874219.26457987,5415016.24685187,1,00000020,1001,Kennedy Rd S n/of First Gulf Blvd,,43.673256,-79.718468,,,0,,,1
-8874580.16236902,5415309.13695316,2,00000030,1002,Kennedy Rd s/of Steeles Ave,,43.675159,-79.721710,,,0,,,1
-8874183.53102333,5416267.44346556,3,00000055,1005,Rutherford Rd S n/of Steeles Ave E,,43.681385,-79.718147,,,0,,,1
-8874276.14883966,5416357.33790249,4,00000060,1006,Rutherford Rd S/of Bramsteele Rd,,43.681969,-79.718979,,,0,,,1
-8874552.10985734,5416640.26480367,5,00000070,1008,Rutherford Rd S n/of Bramsteele Rd,,43.683807,-79.721458,,,0,,,1
-8874953.86189962,5417029.111021,6,00000080,1009,Rutherford Rd S at Glidden Rd,,43.686333,-79.725067,,,0,,,1
-8875387.00603829,5417441.83546936,7,00000090,1010,Rutherford Rd S at Selby Rd,,43.689014,-79.728958,,,0,,,1
-8875572.13035148,5417629.80747357,8,00000100,1011,Rutherford Rd S opp Stafford Rd,,43.690235,-79.730621,,,0,,,1
-8875712.28159039,5417818.39912025,9,00000110,1012,Rutherford Rd S at Clarence St,,43.691460,-79.731880,,,0,,,1
-8875810.02010331,5418380.96394354,10,00000120,1013,Orenda Rd e/of Rutherford Rd S,,43.695114,-79.732758,,,0,,,1
-8875480.40309107,5418471.4948181,11,00000130,1014,Orenda Rd btwn Rutherford Rd S & Heart Lake Rd,,43.695702,-79.729797,,,0,,,1
-8875261.32633319,5418634.08310728,12,00000140,1015,Orenda Rd opp Heart Lake Rd,,43.696758,-79.727829,,,0,,,1
-8874949.63175896,5418721.07517645,13,00000150,1016,Orenda Rd opp Tilbury Crt,,43.697323,-79.725029,,,0,,,1
-8874687.25171917,5418681.6591993,14,00000160,1017,Orenda Rd at 237 Orenda Rd,,43.697067,-79.722672,,,0,,,1
-8874418.86042686,5418837.32249532,15,00000170,1018,Orenda Rd at Titan Rd,,43.698078,-79.720261,,,0,,,1
-8874208.24395028,5419114.01239937,16,00000180,1019,West Dr n/of Orenda Rd,,43.699875,-79.718369,,,0,,,1
-8874738.12472646,5419552.69914368,17,00000190,1020,West Dr s/of Clark Blvd ( 55 West Dr ),,43.702724,-79.723129,,,0,,,1
-8875161.91802791,5419856.97428936,18,00000200,1021,Clark Blvd e/of West Dr,,43.704700,-79.726936,,,0,,,1
-8874949.63175896,5420124.3012161,19,00000210,1022,Clark Blvd at 185 Clark Blvd,,43.706436,-79.725029,,,0,,,1
-8874843.43296475,5420554.41199586,20,00000220,1023,Clark Blvd at Terese Rd,,43.709229,-79.724075,,,0,,,1
-8872609.80738198,5424704.55543671,21,00000222,1024,Queen St E bwtn Torbram Rd & Gateway Blvd,,43.736172,-79.704010,,,0,,,1
-8874558.12110985,5420896.75939015,22,00000230,1025,Clark Blvd at Braemar Dr,,43.711452,-79.721512,,,0,,,1
-8874395.03805583,5421168.89073625,23,00000235,3615,Clark Blvd at Briar Path,,43.713219,-79.720047,,,0,,,1
-8874837.53303173,5420634.18411816,24,00000270,1028,Clark Blvd at Lisa St,,43.709747,-79.724022,,,0,,,1
-8875060.83993027,5420033.90812284,25,00000280,1029,Clark Blvd opp 185 Clark Blvd,,43.705849,-79.726028,,,0,,,1
-8875192.53088787,5419868.21541549,26,00000290,1030,Clark Blvd at West Dr,,43.704773,-79.727211,,,0,,,1
-8875155.12753897,5419733.16881949,27,00000300,1031,West Dr s/of Clark Blvd,,43.703896,-79.726875,,,0,,,1
-8874889.29659495,5419632.61659388,28,00000308,3667,West Dr at 60 West Dr,,43.703243,-79.724487,,,0,,,1
-8874555.56076156,5419367.76758135,29,00000310,1032,West Dr at Norpak Whse,,43.701523,-79.721489,,,0,,,1
-8874150.46913456,5418998.83941178,30,00000320,1033,West Dr s/of Orenda Rd,,43.699127,-79.717850,,,0,,,1
-8873694.39318078,5418337.54639008,31,00000330,1034,Glidden Rd w/of West Dr,,43.694832,-79.713753,,,0,,,1
-8873882.85707869,5418151.86936934,32,00000340,1035,Glidden Rd at Blair Dr,,43.693626,-79.715446,,,0,,,1
-8874197.1120012,5417847.18855132,33,00000350,1036,Glidden Rd at Heart Lake Rd,,43.691647,-79.718269,,,0,,,1
-8874489.32566454,5417558.83643102,34,00000360,1037,Glidden Rd w/of Heart Lake Rd,,43.689774,-79.720894,,,0,,,1
-8874721.20416385,5417179.97421548,35,00000365,4223,Hale Rd s/of Glidden Rd,,43.687313,-79.722977,,,0,,,1
-8874688.92151153,5417362.55276564,36,00000370,1038,Glidden Rd at Hale Rd,,43.688499,-79.722687,,,0,,,1
-8874527.50824988,5416982.15920319,37,00000371,3760,Hale Rd btwn Glidden Rd & Bramsteele Ave,,43.686028,-79.721237,,,0,,,1
-8874186.98192754,5416699.68363293,38,00000372,3761,Hale Rd n/of Bramsteele Ave,,43.684193,-79.718178,,,0,,,0
-8874221.82492816,5416552.21480636,39,00000373,3762,Bramsteele Ave e/of Rutherford Rd,,43.683235,-79.718491,,,0,,,1
-8874166.61046073,5416198.1760888,40,00000410,1043,Rutherford Rd S at Steeles Ave E,,43.680935,-79.717995,,,0,,,1
-8873930.50182075,5415967.44250813,41,00000420,1044,First Gulf Blvd n/of Biscayne Cres (N),,43.679436,-79.715874,,,0,,,0
-8873655.32003951,5415611.57920113,42,00000430,1045,First Gulf Blvd at Biscayne Cres S,,43.677124,-79.713402,,,0,,,0
-8873931.28105719,5415205.24686322,43,00000440,1046,First Gulf Blvd btwn Biscayne Cres (S) and Kennedy,,43.674484,-79.715881,,,0,,,1
-8881171.61205787,5407164.62073406,44,00000460,1047,Hereford St s/of Steeles Ave,,43.622219,-79.780922,,,0,,,1
-8881733.88680587,5406504.17420075,45,00000461,3695,Heritage - Zum Steeles Station Stop EB,,43.617924,-79.785973,,,0,,,1
-8881889.28881502,5406390.38840989,46,00000466,3692,Heritage - Zum Steeles Station Stop WB,,43.617184,-79.787369,,,0,,,1
-8882954.28238343,5404793.22970648,47,00000468,3693,Winston Churchill - Zum Steeles Station Stop WB,,43.606796,-79.796936,,,0,,,1
-8882954.28238343,5404993.24380968,48,00000469,3694,Winston Churchill - Zum Steeles Station Stop EB,,43.608097,-79.796936,,,0,,,1
-8880532.97213919,5408025.80931819,49,00000470,1048,Mississauga Road - Zum Steeles Station Stop EB,,43.627819,-79.775185,,,0,,,1
-8881732.10569401,5403139.01294846,50,00000475,6196,Argentia - Zum Steeles Stop WB,,43.596035,-79.785957,,,0,,,1
-8881770.39959885,5402984.8435206,51,00000477,3712,Argentia - Zum Steeles Stop EB,,43.595032,-79.786301,,,0,,,1
-8879067.00576494,5409860.56231847,52,00000510,1052,Steeles Ave W at Churchville Rd,,43.639748,-79.762016,,,0,,,0
-8878582.09806304,5410466.02306189,53,00000520,1053,Steeles Ave W at Clementine Dr,,43.643684,-79.757660,,,0,,,0
-8877857.63081695,5411372.75009547,54,00000530,1054,Steeles Ave W btwn Mavis Rd & Windmill Blvd,,43.649578,-79.751152,,,0,,,1
-8878379.05131184,5410712.00282,55,00000535,3897,Steeles Ave btwn Clementine Dr and Mavis Rd,,43.645283,-79.755836,,,0,,,1
-8878122.57120504,5411028.29410739,56,00000540,1055,Mavis - Zum Steeles Station Stop EB,,43.647339,-79.753532,,,0,,,1
-8877398.21527845,5411940.3074202,57,00000550,1056,Steeles Ave W at Windmill Blvd,,43.653267,-79.747025,,,0,,,1
-8877047.44756296,5412361.72859382,58,00000560,1057,Steeles Ave W at McLaughlin Rd S,,43.656006,-79.743874,,,0,,,1
-8875757.36598416,5413979.43204055,59,00000600,1059,Steeles Ave E e/of Hurontario St,,43.666519,-79.732285,,,0,,,1
-8875287.59773301,5414585.31666238,60,00000610,1060,Steeles Ave E btwn Hurontario St & Hartford Tr,,43.670456,-79.728065,,,0,,,1
-8874981.91441129,5414976.8466852,61,00000620,1061,Steeles Ave E at Hartford Trail,,43.673000,-79.725319,,,0,,,1
-8872618.26766328,5417956.34287812,62,00000670,1064,Steeles Ave E btwn Tomken Rd & Dixie Rd,,43.692356,-79.704086,,,0,,,1
-8872379.59867502,5418250.55793452,63,00000680,1065,Steeles Ave w/of Dixie Rd,,43.694267,-79.701942,,,0,,,1
-8871772.35085274,5418935.40249752,64,00000700,1067,Steeles Ave E at Advance Blvd,,43.698715,-79.696487,,,0,,,1
-8871400.432434,5419463.54349835,65,00000710,1068,Steeles Ave at Bramalea GO Station,,43.702145,-79.693146,,,0,,,1
-8870416.92473285,5420684.23454687,66,00000730,1070,Steeles Ave E at Melanie Dr (W),,43.710072,-79.684311,,,0,,,1
-8870172.35581157,5420983.77278499,67,00000740,1071,Steeles Ave E at Melanie Dr (E),,43.712017,-79.682114,,,0,,,1
-8868937.4887002,5422489.61946802,68,00000760,1073,Steeles Ave E opp Pearson Convention Centre,,43.721794,-79.671021,,,0,,,1
-8868341.26150751,5423208.36013957,69,00000780,1075,Steeles Ave E opp Parkhurst Sq,,43.726460,-79.665665,,,0,,,1
-8867766.29633757,5423893.41862717,70,00000790,1076,Steeles Ave E at 3389 Steeles Ave E (Bombay Whse),,43.730907,-79.660500,,,0,,,1
-8867534.41783824,5424173.80353359,71,00000800,1077,Steeles Ave E at Goreway Dr,,43.732727,-79.658417,,,0,,,1
-8867403.61743656,5424101.54968506,72,00000810,1078,Goreway Dr s/of Steeles Ave E,,43.732258,-79.657242,,,0,,,0
-8867144.57698148,5423845.81566223,73,00000820,1081,Goreway Dr at Kenview Blvd,,43.730598,-79.654915,,,0,,,1
-8866995.07490535,5423881.09421138,74,00000830,1082,Kenview Blvd e/of Goreway Dr,,43.730827,-79.653572,,,0,,,0
-8866828.65226661,5424096.77386427,75,00000840,1083,Kenview Blvd at 5 Kenview Blvd,,43.732227,-79.652077,,,0,,,0
-8866744.49473157,5424458.81890212,76,00000850,1084,Kenview Blvd at 11 Kenview Blvd,,43.734577,-79.651321,,,0,,,0
-8866663.89942024,5424816.71823746,77,00000900,1085,Kenview Blvd e/of Castleview Dr (19 Kenview Blvd),,43.736900,-79.650597,,,0,,,0
-8866075.24195292,5425052.44944739,78,00000910,1086,Kenview Blvd at Parkshore Dr,,43.738430,-79.645309,,,0,,,1
-8865938.54161823,5425373.39253577,79,00000920,1087,Finch Ave n/of Kenview Blvd,,43.740513,-79.644081,,,0,,,0
-8866261.25682204,5425702.51331881,80,00000930,1088,Finch Ave s/of Steeles Ave,,43.742649,-79.646980,,,0,,,1
-8865357.67651527,5426727.70119958,81,00000940,1090,Albion Rd s/of Steeles Ave,,43.749302,-79.638863,,,0,,,1
-8865432.37189359,5426760.06281046,82,00000941,3724,Steeles Ave w/of Hwy 50,,43.749512,-79.639534,,,0,,,1
-8864924.53237659,5427005.7065493,83,00000942,8075,Steeles Ave w/of Alcide St,,43.751106,-79.634972,,,0,,,0
-8863850.07665146,5427276.78524464,84,00000943,8076,Steeles Ave w/of Signal Hill Ave,,43.752865,-79.625320,,,0,,,0
-8863714.26687269,5426952.84790251,85,00000944,8077,Signal Hill Ave n/of Steinway Blvd,,43.750763,-79.624100,,,0,,,0
-8864195.83498986,5426638.93850683,86,00000945,8078,Steinway Blvd n/of Albion Rd,,43.748726,-79.628426,,,0,,,0
-8863873.89902249,5426873.48344779,87,00000946,8086,Steinway Blvd w/of Signal Hill Ave,,43.750248,-79.625534,,,0,,,0
-8865005.12768793,5426434.29444236,88,00000950,8000,Albion Rd w/of Claireport Cres (W),,43.747398,-79.635696,,,0,,,0
