,ROUTE_ID,TRIP_ID,AVG_DIR,TRIP_SPD
0,1-344,23861158-240304-MULTI-Sunday-01,212.5,34.04265645008335
1,1-344,23861159-240304-MULTI-Sunday-01,172.5,20.356424042221523
2,1-344,23861160-240304-MULTI-Sunday-01,222.0,32.9528648162574
3,1-344,23861242-240304-MULTI-Sunday-01,193.0,33.529400237761365
4,1-344,23861243-240304-MULTI-Sunday-01,30.0,21.343514606306748
5,1-344,23861244-240304-MULTI-Sunday-01,93.75,31.589599164672897
6,1-344,23861448-240304-MULTI-Sunday-01,112.5,21.226972848385174
7,1-344,23870302-240304-MULTI-Weekday-03,181.73076923076923,15.777757916302784
8,1-344,23870304-240304-MULTI-Weekday-03,209.0909090909091,13.167701366585066
9,1-344,23870305-240304-MULTI-Weekday-03,82.34693877551021,18.067532771665583
10,1-344,23870306-240304-MULTI-Weekday-03,67.94117647058823,31.465955904244655
11,1-344,23870307-240304-MULTI-Weekday-03,81.11111111111111,29.119476235769294
12,1-344,23870308-240304-MULTI-Weekday-03,209.0,20.663800146691173
13,1-344,23870309-240304-MULTI-Weekday-03,105.76923076923077,23.119800024584887
14,1-344,23870312-240304-MULTI-Weekday-03,80.52631578947368,28.915268464348763
15,1-344,23870313-240304-MULTI-Weekday-03,102.82608695652173,20.35849837800281
16,1-344,23870314-240304-MULTI-Weekday-03,82.5,42.12381444584537
17,1-344,23870315-240304-MULTI-Weekday-03,195.40540540540542,19.792107309795234
18,1-344,23870316-240304-MULTI-Weekday-03,214.36708860759492,19.55608817767186
19,1-344,23870317-240304-MULTI-Weekday-03,65.80645161290323,26.918503756632106
20,1-344,23870973-240304-MULTI-Weekday-03,110.42553191489361,18.266330896803087
21,1-344,23870975-240304-MULTI-Weekday-03,75.54878048780488,16.732228070321554
22,1-344,23870976-240304-MULTI-Weekday-03,96.17647058823529,17.708201547675174
23,1-344,23870977-240304-MULTI-Weekday-03,200.32894736842104,19.88526299183484
24,1-344,23870978-240304-MULTI-Weekday-03,197.02247191011236,18.878979265105983
25,1-344,23870979-240304-MULTI-Weekday-03,198.03571428571428,18.37305004735576
26,1-344,23870980-240304-MULTI-Weekday-03,200.92592592592592,19.38079745147129
27,1-344,23870981-240304-MULTI-Weekday-03,214.31034482758622,19.48103988662034
28,1-344,23870982-240304-MULTI-Weekday-03,214.875,17.805239842670787
29,1-344,23870983-240304-MULTI-Weekday-03,211.42105263157896,18.120392251525185
30,1-344,23870984-240304-MULTI-Weekday-03,216.39705882352942,21.62070204228024
31,1-344,23870986-240304-MULTI-Weekday-03,99.88235294117646,19.696124070007325
32,1-344,23870987-240304-MULTI-Weekday-03,100.15384615384616,19.022808117864553
33,1-344,23870988-240304-MULTI-Weekday-03,209.67741935483872,18.918203728601313
34,1-344,23870989-240304-MULTI-Weekday-03,87.0,20.97333639309879
35,1-344,23870990-240304-MULTI-Weekday-03,90.83333333333333,18.644894203729283
36,1-344,23870991-240304-MULTI-Weekday-03,194.17808219178082,21.814631643287754
37,1-344,23870992-240304-MULTI-Weekday-03,97.41758241758242,18.756640889330363
38,1-344,23870993-240304-MULTI-Weekday-03,75.38461538461539,18.549735465531793
39,1-344,23870997-240304-MULTI-Weekday-03,189.15254237288136,15.213739121756877
40,1-344,23870998-240304-MULTI-Weekday-03,184.2537313432836,13.852552113912544
