ROUTE_ID,TRIP_ID,AVG_DIR,V_ID,TRIP_SPD,HOUR
1-345,23926309-240429-MULTI-Weekday-01,188,1517,39.7,00
1-345,23926310-240429-MULTI-Weekday-01,207,1883,18.45,00
1-345,23926311-240429-MULTI-Weekday-01,207,1116,17.6,00
1-345,23926312-240429-MULTI-Weekday-01,201,2216,21.0,00
1-345,23926313-240429-MULTI-Weekday-01,198,616,17.95,00
1-345,23926315-240429-MULTI-Weekday-01,216,1883,22.25,01
1-345,23926315-240429-MULTI-Weekday-01,216,2211,6.586,02
1-345,23926316-240429-MULTI-Weekday-01,52,2216,27.47,00
1-345,23926317-240429-MULTI-Weekday-01,80,1883,26.05,00
1-345,23926319-240429-MULTI-Weekday-01,80,616,24.17,00
1-345,23926320-240429-MULTI-Weekday-01,90,1517,28.27,00
1-345,23926322-240429-MULTI-Weekday-01,90,2216,24.8,01
1-345,23926323-240429-MULTI-Weekday-01,113,1116,50.47,01
1-345,23926324-240429-MULTI-Weekday-01,212,1126,24.81,00
1-345,23930910-240429-MULTI-Saturday-01,86,1407,20.89,06
1-345,23930911-240429-MULTI-Saturday-01,51,624,20.86,06
1-345,23930912-240429-MULTI-Saturday-01,84,1105,22.2,06
1-345,23930914-240429-MULTI-Saturday-01,86,1612,20.22,07
1-345,23930916-240429-MULTI-Saturday-01,87,1309,17.88,08
1-345,23930917-240429-MULTI-Saturday-01,76,1122,21.34,08
1-345,23930918-240429-MULTI-Saturday-01,93,1309,27.8,05
1-345,23930919-240429-MULTI-Saturday-01,142,1706,29.8,06
1-345,23930921-240429-MULTI-Saturday-01,76,1407,20.97,08
1-345,23930922-240429-MULTI-Saturday-01,92,1706,23.9,05
1-345,23930924-240429-MULTI-Saturday-01,215,1407,20.0,07
1-345,23930925-240429-MULTI-Saturday-01,209,1612,20.2,06
1-345,23930926-240429-MULTI-Saturday-01,203,1309,18.53,06
1-345,23930927-240429-MULTI-Saturday-01,208,1122,21.0,07
1-345,23930928-240429-MULTI-Saturday-01,204,1612,23.56,08
1-345,23930929-240429-MULTI-Saturday-01,194,624,19.83,07
1-345,23930930-240429-MULTI-Saturday-01,211,1105,20.33,08
1-345,23930932-240429-MULTI-Saturday-01,190,624,14.11,05
1-345,23930933-240429-MULTI-Saturday-01,208,1105,16.39,06
1-345,23931143-240429-MULTI-Saturday-01,113,1122,28.39,06
1-345,23932748-240429-MULTI-Saturday-01,83,624,19.17,09
1-345,23932749-240429-MULTI-Saturday-01,81,1105,20.22,09
1-345,23932750-240429-MULTI-Saturday-01,62,1619,15.07,10
1-345,23932751-240429-MULTI-Saturday-01,71,1515,20.53,10
1-345,23932752-240429-MULTI-Saturday-01,88,1612,17.0,10
1-345,23932753-240429-MULTI-Saturday-01,85,1706,18.6,10
1-345,23932754-240429-MULTI-Saturday-01,80,624,16.39,11
1-345,23932755-240429-MULTI-Saturday-01,81,1309,17.58,11
1-345,23932756-240429-MULTI-Saturday-01,87,1122,18.8,11
1-345,23932757-240429-MULTI-Saturday-01,65,1619,15.74,13
1-345,23932758-240429-MULTI-Saturday-01,59,1407,16.78,11
1-345,23932759-240429-MULTI-Saturday-01,79,1105,15.33,12
1-345,23932760-240429-MULTI-Saturday-01,82,801,19.02,12
1-345,23932761-240429-MULTI-Saturday-01,74,1515,13.67,13
1-345,23932762-240429-MULTI-Saturday-01,85,1612,16.83,13
1-345,23932763-240429-MULTI-Saturday-01,58,1407,15.65,14
1-345,23932764-240429-MULTI-Saturday-01,55,1303,27.44,14
1-345,23932764-240429-MULTI-Saturday-01,55,1706,16.48,14
1-345,23932765-240429-MULTI-Saturday-01,81,1309,14.61,14
1-345,23932766-240429-MULTI-Saturday-01,83,1122,19.23,14
1-345,23932767-240429-MULTI-Saturday-01,80,624,15.5,14
1-345,23932768-240429-MULTI-Saturday-01,99,1104,27.62,16
1-345,23932769-240429-MULTI-Saturday-01,94,1105,16.9,15
1-345,23932770-240429-MULTI-Saturday-01,61,801,15.59,15
1-345,23932771-240429-MULTI-Saturday-01,73,1619,18.42,16
1-345,23932772-240429-MULTI-Saturday-01,78,1612,16.88,16
