RT_NM,STP_NM,RT_STP_NUM,RT_NUM_STPS,RT_LINK,RT_DIR,RT_GRP,RT_NUM
501-zum-queen-eastbound-hwy-7-at-eb-vaughan-metrop,Downtown Terminal Zum Queen Stop,1,31,https://www.triplinx.ca/en/route-schedules/6/RouteSchedules/zum-queen/510/501-zum-queen-eastbound-hwy-7-at-eb-vaughan-metrop/1#trips,East,zum-queen,510
501-zum-queen-eastbound-hwy-7-at-eb-vaughan-metrop,Centre - Zum Queen Station Stop EB,2,31,https://www.triplinx.ca/en/route-schedules/6/RouteSchedules/zum-queen/510/501-zum-queen-eastbound-hwy-7-at-eb-vaughan-metrop/1#trips,East,zum-queen,510
501-zum-queen-eastbound-hwy-7-at-eb-vaughan-metrop,Kennedy - Zum Queen Station Stop EB,3,31,https://www.triplinx.ca/en/route-schedules/6/RouteSchedules/zum-queen/510/501-zum-queen-eastbound-hwy-7-at-eb-vaughan-metrop/1#trips,East,zum-queen,510
501-zum-queen-eastbound-hwy-7-at-eb-vaughan-metrop,Rutherford - Zum Queen Station Stop EB,4,31,https://www.triplinx.ca/en/route-schedules/6/RouteSchedules/zum-queen/510/501-zum-queen-eastbound-hwy-7-at-eb-vaughan-metrop/1#trips,East,zum-queen,510
501-zum-queen-eastbound-hwy-7-at-eb-vaughan-metrop,West - Zum Queen Station Stop EB,5,31,https://www.triplinx.ca/en/route-schedules/6/RouteSchedules/zum-queen/510/501-zum-queen-eastbound-hwy-7-at-eb-vaughan-metrop/1#trips,East,zum-queen,510
501-zum-queen-eastbound-hwy-7-at-eb-vaughan-metrop,Dixie - Zum Queen Station Stop EB,6,31,https://www.triplinx.ca/en/route-schedules/6/RouteSchedules/zum-queen/510/501-zum-queen-eastbound-hwy-7-at-eb-vaughan-metrop/1#trips,East,zum-queen,510
501-zum-queen-eastbound-hwy-7-at-eb-vaughan-metrop,Bramalea Terminal- Zum Queen 501/501C EB-Departure,7,31,https://www.triplinx.ca/en/route-schedules/6/RouteSchedules/zum-queen/510/501-zum-queen-eastbound-hwy-7-at-eb-vaughan-metrop/1#trips,East,zum-queen,510
501-zum-queen-eastbound-hwy-7-at-eb-vaughan-metrop,Bramalea - Zum Queen Station Stop EB,8,31,https://www.triplinx.ca/en/route-schedules/6/RouteSchedules/zum-queen/510/501-zum-queen-eastbound-hwy-7-at-eb-vaughan-metrop/1#trips,East,zum-queen,510
501-zum-queen-eastbound-hwy-7-at-eb-vaughan-metrop,Finchgate - Zum Queen Station Stop EB,9,31,https://www.triplinx.ca/en/route-schedules/6/RouteSchedules/zum-queen/510/501-zum-queen-eastbound-hwy-7-at-eb-vaughan-metrop/1#trips,East,zum-queen,510
501-zum-queen-eastbound-hwy-7-at-eb-vaughan-metrop,Torbram - Zum Queen Station Stop EB,10,31,https://www.triplinx.ca/en/route-schedules/6/RouteSchedules/zum-queen/510/501-zum-queen-eastbound-hwy-7-at-eb-vaughan-metrop/1#trips,East,zum-queen,510
501-zum-queen-eastbound-hwy-7-at-eb-vaughan-metrop,Gateway - Zum Queen Station Stop EB,11,31,https://www.triplinx.ca/en/route-schedules/6/RouteSchedules/zum-queen/510/501-zum-queen-eastbound-hwy-7-at-eb-vaughan-metrop/1#trips,East,zum-queen,510
501-zum-queen-eastbound-hwy-7-at-eb-vaughan-metrop,Airport Road - Zum Queen Station Stop EB,12,31,https://www.triplinx.ca/en/route-schedules/6/RouteSchedules/zum-queen/510/501-zum-queen-eastbound-hwy-7-at-eb-vaughan-metrop/1#trips,East,zum-queen,510
501-zum-queen-eastbound-hwy-7-at-eb-vaughan-metrop,Goreway - Zum Queen Station Stop EB,13,31,https://www.triplinx.ca/en/route-schedules/6/RouteSchedules/zum-queen/510/501-zum-queen-eastbound-hwy-7-at-eb-vaughan-metrop/1#trips,East,zum-queen,510
