X,Y,OBJECTID,stop_id,stop_code,stop_name,stop_desc,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding,stop_lat,stop_lon,CLEANED_STOP_NAME_,CLEANED_STOP_LAT_,CLEANED_STOP_LON_
-8874219.3759,5415016.4008,1,00000020,1001.0,Kennedy Rd S n/of First Gulf Blvd,,,,0,,,1,43.673257,-79.718469,Kennedy Rd S n/of First Gulf Blvd,43.673257,-79.718469
-8874580.1624,5415309.137,2,00000030,1002.0,Kennedy Rd s/of Steeles Ave,,,,0,,,1,43.675159,-79.72171,Kennedy Rd s/of Steeles Ave,43.675159,-79.72171
-8874276.3715,5416357.184,3,00000060,1006.0,Rutherford Rd s/of Bramsteele Rd,,,,0,,,1,43.681968,-79.718981,Rutherford Rd s/of Bramsteele Rd,43.681968,-79.718981
-8874552.1099,5416640.2648,4,00000070,1008.0,Rutherford Rd S n/of Bramsteele Rd,,,,0,,,1,43.683807,-79.721458,Rutherford Rd S n/of Bramsteele Rd,43.683807,-79.721458
-8874953.7506,5417029.265,5,00000080,1009.0,Rutherford Rd S at Glidden Rd,,,,0,,,1,43.686334,-79.725066,Rutherford Rd S at Glidden Rd,43.686334,-79.725066
-8875387.2287,5417441.6815,6,00000090,1010.0,Rutherford Rd S at Selby Rd,,,,0,,,1,43.689013,-79.72896,Rutherford Rd S at Selby Rd,43.689013,-79.72896
-8875571.7964,5417630.1154,7,00000100,1011.0,Rutherford Rd S opp Stafford Rd,,,,0,,,1,43.690237,-79.730618,Rutherford Rd S opp Stafford Rd,43.690237,-79.730618
-8875712.5042,5417818.2452,8,00000110,1012.0,Rutherford Rd S at Clarence St,,,,0,,,1,43.691459,-79.731882,Rutherford Rd S at Clarence St,43.691459,-79.731882
-8875810.2427,5418380.9639,9,00000120,1013.0,Orenda Rd e/of Rutherford Rd S,,,,0,,,1,43.695114,-79.73276,Orenda Rd e/of Rutherford Rd S,43.695114,-79.73276
-8875480.8484,5418471.4948,10,00000130,1014.0,Orenda Rd btwn Rutherford Rd S & Heart Lake Rd,,,,0,,,1,43.695702,-79.729801,Orenda Rd btwn Rutherford Rd S & Heart Lake Rd,43.695702,-79.729801
-8875261.549,5418633.9291,11,00000140,1015.0,Orenda Rd opp Heart Lake Rd,,,,0,,,1,43.696757,-79.727831,Orenda Rd opp Heart Lake Rd,43.696757,-79.727831
-8874949.6318,5418721.0752,12,00000150,1016.0,Orenda Rd opp Tilbury Crt,,,,0,,,1,43.697323,-79.725029,Orenda Rd opp Tilbury Crt,43.697323,-79.725029
-8874687.0291,5418681.8132,13,00000160,1017.0,Orenda Rd at 237 Orenda Rd,,,,0,,,1,43.697068,-79.72267,Orenda Rd at 237 Orenda Rd,43.697068,-79.72267
-8874418.6378,5418837.6304,14,00000170,1018.0,Orenda Rd at Titan Rd,,,,0,,,1,43.69808,-79.720259,Orenda Rd at Titan Rd,43.69808,-79.720259
-8874207.91,5419114.1664,15,00000180,1019.0,West Dr n/of Orenda Rd,,,,0,,,1,43.699876,-79.718366,West Dr n/of Orenda Rd,43.699876,-79.718366
-8874737.9021,5419552.6991,16,00000190,1020.0,West Dr s/of Clark Blvd ( 55 West Dr ),,,,0,,,1,43.702724,-79.723127,West Dr s/of Clark Blvd ( 55 West Dr ),43.702724,-79.723127
-8875161.918,5419857.2823,17,00000200,1021.0,Clark Blvd e/of West Dr,,,,0,,,1,43.704702,-79.726936,Clark Blvd e/of West Dr,43.704702,-79.726936
-8874949.2978,5420124.3012,18,00000210,1022.0,Clark Blvd at 185 Clark Blvd,,,,0,,,1,43.706436,-79.725026,Clark Blvd at 185 Clark Blvd,43.706436,-79.725026
-8874843.7669,5420554.566,19,00000220,1023.0,Clark Blvd at Terese Rd,,,,0,,,1,43.70923,-79.724078,Clark Blvd at Terese Rd,43.70923,-79.724078
-8872610.03,5424704.2473,20,00000222,1024.0,Queen St E btwn Torbram Rd & Gateway Blvd,,,,0,,,1,43.73617,-79.704012,Queen St E btwn Torbram Rd & Gateway Blvd,43.73617,-79.704012
-8874558.1211,5420896.6054,21,00000230,1025.0,Clark Blvd at Braemar Dr,,,,0,,,1,43.711451,-79.721512,Clark Blvd at Braemar Dr,43.711451,-79.721512
-8874395.1494,5421168.8907,22,00000235,3615.0,Clark Blvd at Briar Path,,,,0,,,1,43.713219,-79.720048,Clark Blvd at Briar Path,43.713219,-79.720048
-8874837.7557,5420634.3381,23,00000270,1028.0,Clark Blvd at Lisa St,,,,0,,,1,43.709748,-79.724024,Clark Blvd at Lisa St,43.709748,-79.724024
