index,TRIP_ID,RT_ID,RT_NAME,RT_VER,STP_NM,RT_ID_VER,RT_DIR,RT_GRP,RT_GRP_NUM,RT_STP_NUM,RT_NUM_STPS,ROUTE_ID,V_ID,STP_ARV_TM,DATA_TYPE,NXT_STP_NM,DTS_2_NXT_STP,STP_ARV_DTTM
0,23922929-240429-MULTI-Weekday-01,18,Dixie,2,Russell Creek Dr s/of Seymour Rd,18_2,South,dixie,473,4,78,18-345,619,1716444359.0,IE,Russell Creek Dr n/of Inspire Blvd,0.39,2024-05-23 02:05:59-04:00
0,23922929-240429-MULTI-Weekday-01,18,Dixie,2,Russell Creek Dr n/of Inspire Blvd,18_2,South,dixie,473,5,78,18-345,619,1716444410.0,CE,Russell Creek Dr s/of Dolbyhill Dr,0.36,2024-05-23 02:06:50-04:00
1,23922929-240429-MULTI-Weekday-01,18,Dixie,2,Russell Creek Dr s/of Dolbyhill Dr,18_2,South,dixie,473,6,78,18-345,619,1716444466.0,IE,Russell Creek Dr n/of Countryside Dr,0.17,2024-05-23 02:07:46-04:00
1,23922929-240429-MULTI-Weekday-01,18,Dixie,2,Russell Creek Dr n/of Countryside Dr,18_2,South,dixie,473,7,78,18-345,619,1716444500.0,CE,Countryside Dr e/of Blackstone River Dr,0.25,2024-05-23 02:08:20-04:00
2,23922929-240429-MULTI-Weekday-01,18,Dixie,2,Countryside Dr e/of Blackstone River Dr,18_2,South,dixie,473,8,78,18-345,619,1716444546.0,CE,Dixie Rd at Countryside Dr,0.34,2024-05-23 02:09:06-04:00
2,23922929-240429-MULTI-Weekday-01,18,Dixie,2,Dixie Rd at Countryside Dr,18_2,South,dixie,473,9,78,18-345,619,1716444569.0,IE,Dixie Rd n/of Templehill Rd,0.29,2024-05-23 02:09:29-04:00
3,23922929-240429-MULTI-Weekday-01,18,Dixie,2,Dixie Rd n/of Templehill Rd,18_2,South,dixie,473,10,78,18-345,619,1716444604.0,IE,Dixie Rd n/of Naperton Dr,0.25,2024-05-23 02:10:04-04:00
3,23922929-240429-MULTI-Weekday-01,18,Dixie,2,Dixie Rd n/of Naperton Dr,18_2,South,dixie,473,11,78,18-345,619,1716444645.0,CE,Dixie Rd n/of Octillo Blvd,0.36,2024-05-23 02:10:45-04:00
4,23922929-240429-MULTI-Weekday-01,18,Dixie,2,Dixie Rd n/of Octillo Blvd,18_2,South,dixie,473,12,78,18-345,619,1716444674.0,IE,Dixie Rd s/of Sandalwood Pky E,0.57,2024-05-23 02:11:14-04:00
5,23922929-240429-MULTI-Weekday-01,18,Dixie,2,Dixie Rd s/of Sandalwood Pky E,18_2,South,dixie,473,13,78,18-345,619,1716444701.0,IE,Dixie Rd at Springtown Trail,0.32,2024-05-23 02:11:41-04:00
4,23922929-240429-MULTI-Weekday-01,18,Dixie,2,Dixie Rd at Springtown Trail,18_2,South,dixie,473,14,78,18-345,619,1716444737.0,CE,Dixie Rd btwn Springtown Trail and Peter Robertson,0.26,2024-05-23 02:12:17-04:00
6,23922929-240429-MULTI-Weekday-01,18,Dixie,2,Dixie Rd btwn Springtown Trail and Peter Robertson,18_2,South,dixie,473,15,78,18-345,619,1716444781.0,IE,Dixie Rd n/of Guru Nanak St,0.34,2024-05-23 02:13:01-04:00
6,23922929-240429-MULTI-Weekday-01,18,Dixie,2,Dixie Rd n/of Guru Nanak St,18_2,South,dixie,473,16,78,18-345,619,1716444816.0,CE,Dixie Rd at 10078 Dixie Rd,0.39,2024-05-23 02:13:36-04:00
7,23922929-240429-MULTI-Weekday-01,18,Dixie,2,Dixie Rd at 10078 Dixie Rd,18_2,South,dixie,473,17,78,18-345,619,1716444846.0,IE,Dixie Rd s/of Bovaird Dr E,0.32,2024-05-23 02:14:06-04:00
7,23922929-240429-MULTI-Weekday-01,18,Dixie,2,Dixie Rd s/of Bovaird Dr E,18_2,South,dixie,473,18,78,18-345,619,1716444867.0,CE,Dixie Rd at Northcliffe St,0.29,2024-05-23 02:14:27-04:00
8,23922929-240429-MULTI-Weekday-01,18,Dixie,2,Dixie Rd at Northcliffe St,18_2,South,dixie,473,19,78,18-345,619,1716444881.0,CE,Dixie Rd btwn Northcliffe St and North Park Dr,0.18,2024-05-23 02:14:41-04:00
8,23922929-240429-MULTI-Weekday-01,18,Dixie,2,Dixie Rd btwn Northcliffe St and North Park Dr,18_2,South,dixie,473,20,78,18-345,619,1716444904.0,IE,Dixie Rd s/of North Park Dr,0.27,2024-05-23 02:15:04-04:00
9,23922929-240429-MULTI-Weekday-01,18,Dixie,2,Dixie Rd s/of North Park Dr,18_2,South,dixie,473,21,78,18-345,619,1716444939.0,CE,Dixie Rd at Northampton St,0.35,2024-05-23 02:15:39-04:00
9,23922929-240429-MULTI-Weekday-01,18,Dixie,2,Dixie Rd at Northampton St,18_2,South,dixie,473,22,78,18-345,619,1716444966.0,IE,Dixie Rd s/of Williams Pky E,0.35,2024-05-23 02:16:06-04:00
10,23922929-240429-MULTI-Weekday-01,18,Dixie,2,Dixie Rd s/of Williams Pky E,18_2,South,dixie,473,23,78,18-345,619,1716445004.0,IE,Dixie Rd at Lascelles Blvd,0.22,2024-05-23 02:16:44-04:00
