,U_NAME,ID,V_ID,ROUTE_ID,TRIP_ID,TRIP_TYPE,DST_BTW_STPS,CUR_STP_ID,CUR_STP_NM,CUR_STP_LAT,CUR_STP_LONG,CUR_STP_TIME,SEGMENT_NAME,AVG_DIR,NXT_STP_ID,NXT_STP_NAME,NXT_STP_LAT,NXT_STP_LONG,NXT_STP_TIME
0,100_1-344_23865980-240304-MULTI-Saturday-01_60,100,1620,1-344,23865980-240304-MULTI-Saturday-01,Saturday,0.5551174814221547,50116.0,Torbram - Zum Queen Station Stop EB,43.734538,-79.70589,1712439252.408759,Torbram - Zum Queen Station Stop EB -- TO -- Gateway - Zum Queen Station Stop EB,40,50118,Gateway - Zum Queen Station Stop EB,43.73838,-79.701478,1712439365.531228
1,100_1-344_23865980-240304-MULTI-Saturday-01_60,100,1620,1-344,23865980-240304-MULTI-Saturday-01,Saturday,0.8011180149757278,50118.0,Gateway - Zum Queen Station Stop EB,43.73838,-79.701478,1712439365.531228,Gateway - Zum Queen Station Stop EB -- TO -- Airport Road - Zum Queen Station Stop EB,40,50120,Airport Road - Zum Queen Station Stop EB,43.743893,-79.695058,1712439471.1330955
2,100_1-344_23865980-240304-MULTI-Saturday-01_60,100,1620,1-344,23865980-240304-MULTI-Saturday-01,Saturday,0.37949455907850366,50120.0,Airport Road - Zum Queen Station Stop EB,43.743893,-79.695058,1712439471.1330955,Airport Road - Zum Queen Station Stop EB -- TO -- Queen St E e/of Delta Park Blvd,40,20300,Queen St E e/of Delta Park Blvd,43.746506,-79.692019,1712439500.3372755
3,100_1-344_23865980-240304-MULTI-Saturday-01_60,100,1620,1-344,23865980-240304-MULTI-Saturday-01,Saturday,1.0370921380411844,20300.0,Queen St E e/of Delta Park Blvd,43.746506,-79.692019,1712439500.3372755,Queen St E e/of Delta Park Blvd -- TO -- Goreway - Zum Queen Station Stop EB,40,50122,Goreway - Zum Queen Station Stop EB,43.753586,-79.683614,1712439635.7110028
4,100_1-344_23865980-240304-MULTI-Saturday-01_60,100,1620,1-344,23865980-240304-MULTI-Saturday-01,Saturday,1.333968220422147,50122.0,Goreway - Zum Queen Station Stop EB,43.753586,-79.683614,1712439635.7110028,Goreway - Zum Queen Station Stop EB -- TO -- Ebenezer Rd e/of McVean Dr,40,44480,Ebenezer Rd e/of McVean Dr,43.76297,-79.673266,1712439790.486757
5,100_1-344_23865980-240304-MULTI-Saturday-01_60,100,1620,1-344,23865980-240304-MULTI-Saturday-01,Saturday,1.0066962208295809,44480.0,Ebenezer Rd e/of McVean Dr,43.76297,-79.673266,1712439790.486757,Ebenezer Rd e/of McVean Dr -- TO -- Ebenezer Rd at Palleschi Dr,40,44510,Ebenezer Rd at Palleschi Dr,43.77003,-79.665418,1712439909.5426304
6,100_1-344_23865980-240304-MULTI-Saturday-01_60,100,1620,1-344,23865980-240304-MULTI-Saturday-01,Saturday,0.22392152979938024,44510.0,Ebenezer Rd at Palleschi Dr,43.77003,-79.665418,1712439909.5426304,Ebenezer Rd at Palleschi Dr -- TO -- Ebenezer Rd at The Gore Rd,40,44520,Ebenezer Rd at The Gore Rd,43.771576,-79.663631,1712439937.6590075
8,100_1-344_23865982-240304-MULTI-Saturday-01_122,100,1106,1-344,23865982-240304-MULTI-Saturday-01,Saturday,0.32175851939955175,220.0,Clark Blvd at Terese Rd,43.70923,-79.724078,1712440029.431153,Clark Blvd at Terese Rd -- TO -- Clark Blvd at Braemar Dr,24,230,Clark Blvd at Braemar Dr,43.711451,-79.721512,1712440060.820485
9,100_1-344_23865982-240304-MULTI-Saturday-01_122,100,1106,1-344,23865982-240304-MULTI-Saturday-01,Saturday,0.5367945972775099,230.0,Clark Blvd at Braemar Dr,43.711451,-79.721512,1712440060.820485,Clark Blvd at Braemar Dr -- TO -- Clark Blvd w/of Central Park Dr,24,9875,Clark Blvd w/of Central Park Dr,43.715563,-79.718013,1712440557.5082405
10,100_1-344_23865982-240304-MULTI-Saturday-01_122,100,1106,1-344,23865982-240304-MULTI-Saturday-01,Saturday,0.951925671238888,9875.0,Clark Blvd w/of Central Park Dr,43.715563,-79.718013,1712440557.5082405,Clark Blvd w/of Central Park Dr -- TO -- Bramalea Rd at Queen St E,24,3930,Bramalea Rd at Queen St E,43.724066,-79.716638,1712440657.0547826
11,100_1-344_23865982-240304-MULTI-Saturday-01_122,100,1106,1-344,23865982-240304-MULTI-Saturday-01,Saturday,0.10086572297839821,3930.0,Bramalea Rd at Queen St E,43.724066,-79.716638,1712440657.0547826,Bramalea Rd at Queen St E -- TO -- Bramalea - Zum Queen Station Stop EB,24,50112,Bramalea - Zum Queen Station Stop EB,43.724972,-79.716576,1712440531.2117019
