time,time_2_comp
07-02-2024 03:47:37,0.49
07-02-2024 03:47:53,0.41
07-02-2024 03:48:08,0.56
07-02-2024 03:48:24,0.49
07-02-2024 03:48:39,0.51
07-02-2024 03:48:55,0.47
07-02-2024 03:49:10,0.47
07-02-2024 03:49:26,0.43
07-02-2024 03:49:41,0.55
07-02-2024 03:49:57,0.5
07-02-2024 03:50:12,0.56
07-02-2024 03:50:28,0.5
07-02-2024 03:50:43,0.49
07-02-2024 03:50:59,0.51
07-02-2024 03:51:14,0.56
07-02-2024 03:51:30,0.49
07-02-2024 03:51:46,0.46
07-02-2024 03:52:01,0.52
07-02-2024 03:52:17,0.51
07-02-2024 03:52:32,0.48
07-02-2024 03:52:48,0.48
07-02-2024 03:53:03,0.57
07-02-2024 03:53:19,0.54
07-02-2024 03:53:34,0.55
07-02-2024 03:53:50,0.53
07-02-2024 03:54:05,0.48
07-02-2024 03:54:21,0.57
07-02-2024 03:54:37,0.53
07-02-2024 03:54:52,0.44
07-02-2024 03:55:08,0.45
07-02-2024 03:55:23,0.46
07-02-2024 03:55:39,0.55
07-02-2024 03:55:54,0.6
07-02-2024 03:56:10,0.48
07-02-2024 03:56:25,0.54
07-02-2024 03:56:41,0.5
07-02-2024 03:56:56,0.53
07-02-2024 03:57:12,0.5
07-02-2024 03:57:27,0.54
07-02-2024 03:57:43,0.47
07-02-2024 03:57:59,0.58
07-02-2024 03:58:14,0.43
07-02-2024 03:58:30,0.49
07-02-2024 03:58:45,0.45
07-02-2024 03:59:01,0.52
07-02-2024 03:59:16,0.56
07-02-2024 03:59:32,0.47
07-02-2024 03:59:47,0.55
07-02-2024 04:00:03,0.55
07-02-2024 04:00:18,0.46
07-02-2024 04:00:34,0.45
07-02-2024 04:00:49,0.56
07-02-2024 04:01:05,0.56
07-02-2024 04:01:21,0.49
07-02-2024 04:01:36,0.54
07-02-2024 04:01:52,0.57
07-02-2024 04:02:07,0.51
07-02-2024 04:02:23,0.48
07-02-2024 04:02:38,0.53
07-02-2024 04:02:54,0.51
07-02-2024 04:03:09,0.51
07-02-2024 04:03:25,0.62
07-02-2024 04:03:41,0.42
07-02-2024 04:03:56,0.56
07-02-2024 04:04:12,0.51
07-02-2024 04:04:27,0.52
07-02-2024 04:04:43,0.56
07-02-2024 04:04:58,0.5
07-02-2024 04:05:14,0.59
07-02-2024 04:05:29,0.59
07-02-2024 04:05:45,0.5
07-02-2024 04:06:01,0.58
07-02-2024 04:06:16,0.47
07-02-2024 04:06:32,0.49
07-02-2024 04:06:47,0.45
07-02-2024 04:07:03,0.52
07-02-2024 04:07:18,0.53
07-02-2024 04:07:34,0.59
07-02-2024 04:07:49,0.49
07-02-2024 04:08:05,0.56
07-02-2024 04:08:20,0.54
07-02-2024 04:08:36,0.56
07-02-2024 04:08:52,0.51
07-02-2024 04:09:07,0.65
07-02-2024 04:09:23,0.55
07-02-2024 04:09:38,0.52
07-02-2024 04:09:54,0.56
07-02-2024 04:10:10,0.52
07-02-2024 04:10:25,0.53
07-02-2024 04:10:41,0.55
07-02-2024 04:10:56,0.53
07-02-2024 04:11:12,0.57
07-02-2024 04:11:27,0.49
07-02-2024 04:11:43,0.55
07-02-2024 04:11:59,0.51
07-02-2024 04:12:14,0.47
07-02-2024 04:12:30,0.51
07-02-2024 04:12:45,0.48
07-02-2024 04:13:01,0.5
07-02-2024 04:13:16,0.56
07-02-2024 04:13:32,0.5
07-02-2024 04:13:47,0.66
07-02-2024 04:14:03,0.49
07-02-2024 04:14:18,0.53
07-02-2024 04:14:34,0.47
07-02-2024 04:14:50,0.52
07-02-2024 04:15:05,0.6
07-02-2024 04:15:21,0.53
07-02-2024 04:15:36,0.51
07-02-2024 04:15:52,0.55
07-02-2024 04:16:07,0.61
07-02-2024 04:16:23,0.56
07-02-2024 04:16:39,0.49
07-02-2024 04:16:54,0.54
07-02-2024 04:17:10,0.55
07-02-2024 04:17:25,0.52
07-02-2024 04:17:41,0.54
07-02-2024 04:17:56,0.58
07-02-2024 04:18:12,0.53
07-02-2024 04:18:28,0.54
07-02-2024 04:18:43,0.65
07-02-2024 04:18:59,0.48
07-02-2024 04:19:14,0.5
07-02-2024 04:19:30,0.48
07-02-2024 04:19:45,0.59
07-02-2024 04:20:01,0.58
07-02-2024 04:20:17,0.52
07-02-2024 04:20:32,0.52
07-02-2024 04:20:48,0.48
07-02-2024 04:21:03,0.6
07-02-2024 04:21:19,0.58
07-02-2024 04:21:34,0.63
07-02-2024 04:21:50,0.59
07-02-2024 04:22:06,0.61
07-02-2024 04:22:21,0.48
07-02-2024 04:22:37,0.61
07-02-2024 04:22:53,0.48
07-02-2024 04:23:08,0.55
07-02-2024 04:23:24,0.56
07-02-2024 04:23:39,0.66
07-02-2024 04:23:55,0.58
07-02-2024 04:24:11,0.67
07-02-2024 04:24:26,0.55
07-02-2024 04:24:42,0.65
07-02-2024 04:24:58,0.57
07-02-2024 04:25:13,0.66
07-02-2024 04:25:29,0.5
07-02-2024 04:25:44,0.7
07-02-2024 04:26:00,0.52
07-02-2024 04:26:16,0.57
07-02-2024 04:26:31,0.47
07-02-2024 04:26:47,0.59
07-02-2024 04:27:02,0.51
07-02-2024 04:27:18,0.62
07-02-2024 04:27:34,0.58
07-02-2024 04:27:49,0.69
07-02-2024 04:28:05,0.53
07-02-2024 04:28:21,0.69
07-02-2024 04:28:36,0.51
07-02-2024 04:28:52,0.74
07-02-2024 04:29:08,0.63
07-02-2024 04:29:23,0.64
07-02-2024 04:29:39,0.72
07-02-2024 04:29:55,0.79
07-02-2024 04:30:10,0.81
07-02-2024 04:30:26,0.73
07-02-2024 04:30:42,0.86
07-02-2024 04:30:58,0.85
07-02-2024 04:31:14,0.73
07-02-2024 04:31:30,0.86
07-02-2024 04:31:46,0.69
07-02-2024 04:32:01,0.77
07-02-2024 04:32:17,0.83
07-02-2024 04:32:33,0.73
07-02-2024 04:32:49,0.74
07-02-2024 04:33:05,0.83
07-02-2024 04:33:21,0.86
07-02-2024 04:33:37,0.93
07-02-2024 04:33:53,0.92
07-02-2024 04:34:09,0.88
07-02-2024 04:34:24,0.9
07-02-2024 04:34:40,1.01
07-02-2024 04:34:57,0.89
07-02-2024 04:35:12,0.96
07-02-2024 04:35:28,1.03
07-02-2024 04:35:45,1.09
07-02-2024 04:36:01,1.03
07-02-2024 04:36:17,0.88
07-02-2024 04:36:33,0.86
07-02-2024 04:36:49,1.12
07-02-2024 04:37:05,0.96
07-02-2024 04:37:21,0.94
07-02-2024 04:37:37,0.92
07-02-2024 04:37:53,1.06
07-02-2024 04:38:09,0.95
07-02-2024 04:38:25,0.93
07-02-2024 04:38:41,0.84
07-02-2024 04:38:57,1.09
07-02-2024 04:39:13,0.97
07-02-2024 04:39:29,1.08
07-02-2024 04:39:45,0.98
07-02-2024 04:40:01,1.16
07-02-2024 04:40:18,0.89
07-02-2024 04:40:34,1.04
07-02-2024 04:40:50,1.17
07-02-2024 04:41:06,0.78
07-02-2024 04:41:22,0.92
07-02-2024 04:41:38,2.2
07-02-2024 04:41:55,0.93
07-02-2024 04:42:11,0.95
07-02-2024 04:42:27,0.85
07-02-2024 04:42:43,0.9
07-02-2024 04:42:59,0.97
07-02-2024 04:43:15,0.9
07-02-2024 04:43:31,0.97
07-02-2024 04:43:47,0.92
07-02-2024 04:44:03,0.92
07-02-2024 04:44:19,0.84
07-02-2024 04:44:35,0.82
07-02-2024 04:44:51,0.88
07-02-2024 04:45:07,0.87
07-02-2024 04:45:23,0.88
07-02-2024 04:45:39,0.91
07-02-2024 04:45:55,0.98
07-02-2024 04:46:11,1.2
07-02-2024 04:46:27,0.84
07-02-2024 04:46:43,0.93
07-02-2024 04:46:59,0.75
07-02-2024 04:47:14,0.68
07-02-2024 04:47:30,0.77
07-02-2024 04:47:46,0.62
07-02-2024 04:48:02,0.67
07-02-2024 04:48:17,0.72
07-02-2024 04:48:33,0.64
07-02-2024 04:48:49,0.62
07-02-2024 04:49:04,0.83
07-02-2024 04:49:20,0.62
07-02-2024 04:49:36,0.73
07-02-2024 04:49:52,0.67
07-02-2024 04:50:07,0.69
07-02-2024 04:50:23,0.73
07-02-2024 04:50:39,0.69
07-02-2024 04:50:55,0.73
07-02-2024 04:51:10,0.7
07-02-2024 04:51:26,0.66
07-02-2024 04:51:42,0.72
07-02-2024 04:51:58,0.75
07-02-2024 04:52:13,0.67
07-02-2024 04:52:29,0.66
07-02-2024 04:52:45,0.71
07-02-2024 04:53:01,0.65
07-02-2024 04:53:16,0.71
07-02-2024 04:53:32,0.71
07-02-2024 04:53:48,0.73
07-02-2024 04:54:04,0.76
07-02-2024 04:54:19,0.66
07-02-2024 04:54:35,0.68
07-02-2024 04:54:51,0.81
07-02-2024 04:55:07,0.74
07-02-2024 04:55:22,0.65
07-02-2024 04:55:38,0.66
07-02-2024 04:55:54,0.71
07-02-2024 04:56:09,0.72
