X,Y,OBJECTID,stop_id,stop_code,stop_name,stop_desc,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding,stop_lat,stop_lon
-8874219.3759,5415016.4008,1,00000020,1001,Kennedy Rd S n/of First Gulf Blvd,,,,0,,,1,43.673257,-79.718469
-8874580.1624,5415309.137,2,00000030,1002,Kennedy Rd s/of Steeles Ave,,,,0,,,1,43.675159,-79.721710
-8874276.3715,5416357.184,3,00000060,1006,Rutherford Rd s/of Bramsteele Rd,,,,0,,,1,43.681968,-79.718981
-8874552.1099,5416640.2648,4,00000070,1008,Rutherford Rd S n/of Bramsteele Rd,,,,0,,,1,43.683807,-79.721458
-8874953.7506,5417029.265,5,00000080,1009,Rutherford Rd S at Glidden Rd,,,,0,,,1,43.686334,-79.725066
-8875387.2287,5417441.6815,6,00000090,1010,Rutherford Rd S at Selby Rd,,,,0,,,1,43.689013,-79.728960
-8875571.7964,5417630.1154,7,00000100,1011,Rutherford Rd S opp Stafford Rd,,,,0,,,1,43.690237,-79.730618
-8875712.5042,5417818.2452,8,00000110,1012,Rutherford Rd S at Clarence St,,,,0,,,1,43.691459,-79.731882
-8875810.2427,5418380.9639,9,00000120,1013,Orenda Rd e/of Rutherford Rd S,,,,0,,,1,43.695114,-79.732760
-8875480.8484,5418471.4948,10,00000130,1014,Orenda Rd btwn Rutherford Rd S & Heart Lake Rd,,,,0,,,1,43.695702,-79.729801
-8875261.549,5418633.9291,11,00000140,1015,Orenda Rd opp Heart Lake Rd,,,,0,,,1,43.696757,-79.727831
-8874949.6318,5418721.0752,12,00000150,1016,Orenda Rd opp Tilbury Crt,,,,0,,,1,43.697323,-79.725029
-8874687.0291,5418681.8132,13,00000160,1017,Orenda Rd at 237 Orenda Rd,,,,0,,,1,43.697068,-79.722670
-8874418.6378,5418837.6304,14,00000170,1018,Orenda Rd at Titan Rd,,,,0,,,1,43.698080,-79.720259
-8874207.91,5419114.1664,15,00000180,1019,West Dr n/of Orenda Rd,,,,0,,,1,43.699876,-79.718366
-8874737.9021,5419552.6991,16,00000190,1020,West Dr s/of Clark Blvd ( 55 West Dr ),,,,0,,,1,43.702724,-79.723127
-8875161.918,5419857.2823,17,00000200,1021,Clark Blvd e/of West Dr,,,,0,,,1,43.704702,-79.726936
-8874949.2978,5420124.3012,18,00000210,1022,Clark Blvd at 185 Clark Blvd,,,,0,,,1,43.706436,-79.725026
-8874843.7669,5420554.566,19,00000220,1023,Clark Blvd at Terese Rd,,,,0,,,1,43.709230,-79.724078
-8872610.03,5424704.2473,20,00000222,1024,Queen St E btwn Torbram Rd & Gateway Blvd,,,,0,,,1,43.736170,-79.704012
-8874558.1211,5420896.6054,21,00000230,1025,Clark Blvd at Braemar Dr,,,,0,,,1,43.711451,-79.721512
-8874395.1494,5421168.8907,22,00000235,3615,Clark Blvd at Briar Path,,,,0,,,1,43.713219,-79.720048
-8874837.7557,5420634.3381,23,00000270,1028,Clark Blvd at Lisa St,,,,0,,,1,43.709748,-79.724024
-8875060.8399,5420033.6001,24,00000280,1029,Clark Blvd opp 185 Clark Blvd,,,,0,,,1,43.705847,-79.726028
-8875192.8648,5419868.3694,25,00000290,1030,Clark Blvd at West Dr,,,,0,,,1,43.704774,-79.727214
-8875155.3502,5419733.3228,26,00000300,1031,West Dr s/of Clark Blvd,,,,0,,,1,43.703897,-79.726877
-8874889.074,5419632.6166,27,00000308,3667,West Dr at 60 West Dr,,,,0,,,1,43.703243,-79.724485
-8874555.8947,5419367.4596,28,00000310,1032,West Dr at Norpak Whse,,,,0,,,1,43.701521,-79.721492
-8874150.0239,5418998.6854,29,00000320,1033,West Dr s/of Orenda Rd,,,,0,,,1,43.699126,-79.717846
-8873694.7271,5418337.2385,30,00000330,1034,Glidden Rd w/of West Dr,,,,0,,,1,43.694830,-79.713756
-8873882.6344,5418151.7154,31,00000340,1035,Glidden Rd at Blair Dr,,,,0,,,1,43.693625,-79.715444
-8874197.0007,5417847.3425,32,00000350,1036,Glidden Rd at Heart Lake Rd,,,,0,,,1,43.691648,-79.718268
-8874489.2143,5417558.6825,33,00000360,1037,Glidden Rd w/of Heart Lake Rd,,,,0,,,1,43.689773,-79.720893
-8874720.9815,5417179.8203,34,00000365,4223,Hale Rd s/of Glidden Rd,,,,0,,,1,43.687312,-79.722975
-8874688.9215,5417362.8607,35,00000370,1038,Glidden Rd at Hale Rd,,,,0,,,1,43.688501,-79.722687
-8874527.7309,5416982.0053,36,00000371,3760,Hale Rd btwn Glidden Rd & Bramsteele Ave,,,,0,,,1,43.686027,-79.721239
-8874186.8706,5416699.5297,37,00000372,3761,Hale Rd n/of Bramsteele Ave,,,,0,,,0,43.684192,-79.718177
-8874222.1589,5416552.5227,38,00000373,3762,Bramsteele Ave e/of Rutherford Rd,,,,0,,,1,43.683237,-79.718494
-8874166.3878,5416197.8682,39,00000410,1043,Rutherford Rd S at Steeles Ave E,,,,0,,,1,43.680933,-79.717993
-8873930.8358,5415967.7504,40,00000420,1044,First Gulf Blvd n/of Biscayne Cres (N),,,,0,,,0,43.679438,-79.715877
-8873655.32,5415611.5792,41,00000430,1045,First Gulf Blvd at Biscayne Cres S,,,,0,,,0,43.677124,-79.713402
-8873930.9471,5415205.093,42,00000440,1046,First Gulf Blvd btwn Biscayne Cres (S) and Kennedy,,,,0,,,1,43.674483,-79.715878
-8881171.5007,5407164.3132,43,00000460,1047,Hereford St s/of Steeles Ave,,,,0,,,1,43.622217,-79.780921
-8881734.2208,5406504.1742,44,00000461,3695,Heritage - Zum Steeles Station Stop EB,,,,0,,,1,43.617924,-79.785976
-8881889.5115,5406390.3884,45,00000466,3692,Heritage - Zum Steeles Station Stop WB,,,,0,,,1,43.617184,-79.787371
-8882954.505,5404793.5372,46,00000468,3693,Winston Churchill - Zum Steeles Station Stop WB,,,,0,,,1,43.606798,-79.796938
-8882954.3937,5404993.3976,47,00000469,3694,Winston Churchill - Zum Steeles Station Stop EB,,,,0,,,1,43.608098,-79.796937
-8880532.8608,5408025.9631,48,00000470,1048,Mississauga Road - Zum Steeles Station Stop EB,,,,0,,,1,43.627820,-79.775184
-8881732.3283,5403139.1667,49,00000475,6196,Argentia - Zum Steeles Stop WB,,,,0,,,1,43.596036,-79.785959
-8881770.3996,5402984.6898,50,00000477,3712,Argentia - Zum Steeles Stop EB,,,,0,,,1,43.595031,-79.786301
-8879066.8944,5409860.4085,51,00000510,1052,Steeles Ave W at Churchville Rd,,,,0,,,0,43.639747,-79.762015
