RT_NM,STP_NM,RT_STP_NUM,RT_NUM_STPS,X,Y,OBJECTID,stop_id,stop_code,stop_name,stop_desc,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding,stop_lat,stop_lon
501-zum-queen-eastbound-hwy-7-at-eb-vaughan-metrop,Downtown Terminal Zum Queen Stop,1,30,-8879117.2109,5417111.7776,2156.0,00050100,4020.0,Downtown Terminal Zum Queen Stop,,,,0.0,place_4CRN,,1.0,43.68687,-79.762467
501-zum-queen-eastbound-hwy-7-at-eb-vaughan-metrop,Centre - Zum Queen Station Stop EB,2,30,-8878216.1909,5417740.3448,2157.0,00050102,4021.0,Centre - Zum Queen Station Stop EB,,,,0.0,,,1.0,43.690953,-79.754373
501-zum-queen-eastbound-hwy-7-at-eb-vaughan-metrop,Kennedy - Zum Queen Station Stop EB,3,30,-8877602.8205,5418512.2956,2158.0,00050104,4022.0,Kennedy - Zum Queen Station Stop EB,,,,0.0,,,1.0,43.695967,-79.748863
501-zum-queen-eastbound-hwy-7-at-eb-vaughan-metrop,Rutherford - Zum Queen Station Stop EB,4,30,-8876908.2982,5419356.989,2159.0,00050106,4023.0,Rutherford - Zum Queen Station Stop EB,,,,0.0,,,1.0,43.701453,-79.742624
501-zum-queen-eastbound-hwy-7-at-eb-vaughan-metrop,West - Zum Queen Station Stop EB,5,30,-8875916.8868,5420586.752,2160.0,00050108,4024.0,West - Zum Queen Station Stop EB,,,,0.0,,,1.0,43.709439,-79.733718
501-zum-queen-eastbound-hwy-7-at-eb-vaughan-metrop,Dixie - Zum Queen Station Stop EB,6,30,-8875187.0762,5421502.02,2161.0,00050110,4025.0,Dixie - Zum Queen Station Stop EB,,,,0.0,,,1.0,43.715382,-79.727162
501-zum-queen-eastbound-hwy-7-at-eb-vaughan-metrop,Bramalea Terminal- Zum Queen 501/501C EB-Departure,7,30,-8874470.7353,5422041.8597,2186.0,00050198,4003.0,Bramalea Terminal- Zum Queen 501/501C EB-Departure,,,,0.0,place_CITY,,1.0,43.718887,-79.720727
501-zum-queen-eastbound-hwy-7-at-eb-vaughan-metrop,Bramalea - Zum Queen Station Stop EB,8,30,-8874008.6481,5422979.1457,2162.0,00050112,4026.0,Bramalea - Zum Queen Station Stop EB,,,,0.0,,,1.0,43.724972,-79.716576
501-zum-queen-eastbound-hwy-7-at-eb-vaughan-metrop,Finchgate - Zum Queen Station Stop EB,9,30,-8873562.1456,5423530.7796,2163.0,00050114,4027.0,Finchgate - Zum Queen Station Stop EB,,,,0.0,,,1.0,43.728553,-79.712565
501-zum-queen-eastbound-hwy-7-at-eb-vaughan-metrop,Torbram - Zum Queen Station Stop EB,10,30,-8872819.088,5424452.8104,2164.0,00050116,4028.0,Torbram - Zum Queen Station Stop EB,,,,0.0,,,1.0,43.734538,-79.70589
501-zum-queen-eastbound-hwy-7-at-eb-vaughan-metrop,Gateway - Zum Queen Station Stop EB,11,30,-8872327.9464,5425044.7457,2165.0,00050118,4029.0,Gateway - Zum Queen Station Stop EB,,,,0.0,,,1.0,43.73838,-79.701478
