RT_NM,STP_NM,RT_LINK,RT_DIR,RT_GRP,RT_NUM
501-zum-queen-eastbound-hwy-7-at-eb-vaughan-metrop,Downtown Terminal Zum Queen Stop,https://www.triplinx.ca/en/route-schedules/6/RouteSchedules/zum-queen/510/501-zum-queen-eastbound-hwy-7-at-eb-vaughan-metrop/1#trips,East,zum-queen,510
501-zum-queen-eastbound-hwy-7-at-eb-vaughan-metrop,Centre - Zum Queen Station Stop EB,https://www.triplinx.ca/en/route-schedules/6/RouteSchedules/zum-queen/510/501-zum-queen-eastbound-hwy-7-at-eb-vaughan-metrop/1#trips,East,zum-queen,510
501-zum-queen-eastbound-hwy-7-at-eb-vaughan-metrop,Kennedy - Zum Queen Station Stop EB,https://www.triplinx.ca/en/route-schedules/6/RouteSchedules/zum-queen/510/501-zum-queen-eastbound-hwy-7-at-eb-vaughan-metrop/1#trips,East,zum-queen,510
501-zum-queen-eastbound-hwy-7-at-eb-vaughan-metrop,Rutherford - Zum Queen Station Stop EB,https://www.triplinx.ca/en/route-schedules/6/RouteSchedules/zum-queen/510/501-zum-queen-eastbound-hwy-7-at-eb-vaughan-metrop/1#trips,East,zum-queen,510
501-zum-queen-eastbound-hwy-7-at-eb-vaughan-metrop,West - Zum Queen Station Stop EB,https://www.triplinx.ca/en/route-schedules/6/RouteSchedules/zum-queen/510/501-zum-queen-eastbound-hwy-7-at-eb-vaughan-metrop/1#trips,East,zum-queen,510
501-zum-queen-eastbound-hwy-7-at-eb-vaughan-metrop,Dixie - Zum Queen Station Stop EB,https://www.triplinx.ca/en/route-schedules/6/RouteSchedules/zum-queen/510/501-zum-queen-eastbound-hwy-7-at-eb-vaughan-metrop/1#trips,East,zum-queen,510
501-zum-queen-eastbound-hwy-7-at-eb-vaughan-metrop,Bramalea Terminal- Zum Queen 501/501C EB-Departure,https://www.triplinx.ca/en/route-schedules/6/RouteSchedules/zum-queen/510/501-zum-queen-eastbound-hwy-7-at-eb-vaughan-metrop/1#trips,East,zum-queen,510
501-zum-queen-eastbound-hwy-7-at-eb-vaughan-metrop,Bramalea - Zum Queen Station Stop EB,https://www.triplinx.ca/en/route-schedules/6/RouteSchedules/zum-queen/510/501-zum-queen-eastbound-hwy-7-at-eb-vaughan-metrop/1#trips,East,zum-queen,510
501-zum-queen-eastbound-hwy-7-at-eb-vaughan-metrop,Finchgate - Zum Queen Station Stop EB,https://www.triplinx.ca/en/route-schedules/6/RouteSchedules/zum-queen/510/501-zum-queen-eastbound-hwy-7-at-eb-vaughan-metrop/1#trips,East,zum-queen,510
501-zum-queen-eastbound-hwy-7-at-eb-vaughan-metrop,Torbram - Zum Queen Station Stop EB,https://www.triplinx.ca/en/route-schedules/6/RouteSchedules/zum-queen/510/501-zum-queen-eastbound-hwy-7-at-eb-vaughan-metrop/1#trips,East,zum-queen,510
501-zum-queen-eastbound-hwy-7-at-eb-vaughan-metrop,Gateway - Zum Queen Station Stop EB,https://www.triplinx.ca/en/route-schedules/6/RouteSchedules/zum-queen/510/501-zum-queen-eastbound-hwy-7-at-eb-vaughan-metrop/1#trips,East,zum-queen,510
501-zum-queen-eastbound-hwy-7-at-eb-vaughan-metrop,Airport Road - Zum Queen Station Stop EB,https://www.triplinx.ca/en/route-schedules/6/RouteSchedules/zum-queen/510/501-zum-queen-eastbound-hwy-7-at-eb-vaughan-metrop/1#trips,East,zum-queen,510
501-zum-queen-eastbound-hwy-7-at-eb-vaughan-metrop,Goreway - Zum Queen Station Stop EB,https://www.triplinx.ca/en/route-schedules/6/RouteSchedules/zum-queen/510/501-zum-queen-eastbound-hwy-7-at-eb-vaughan-metrop/1#trips,East,zum-queen,510
501-zum-queen-eastbound-hwy-7-at-eb-vaughan-metrop,McVean - Zum Queen Station Stop EB,https://www.triplinx.ca/en/route-schedules/6/RouteSchedules/zum-queen/510/501-zum-queen-eastbound-hwy-7-at-eb-vaughan-metrop/1#trips,East,zum-queen,510
501-zum-queen-eastbound-hwy-7-at-eb-vaughan-metrop,The Gore Road - Zum Queen Station Stop EB,https://www.triplinx.ca/en/route-schedules/6/RouteSchedules/zum-queen/510/501-zum-queen-eastbound-hwy-7-at-eb-vaughan-metrop/1#trips,East,zum-queen,510
